Cluster,Node,Coordinates
0,AA,[-0.69142406  0.02103168]
0,AB,[-0.71050141  0.02442554]
0,ABB,[-0.71642643  0.07631944]
0,ABR,[-0.65610114 -0.12871793]
0,ABS,[-0.55516522 -0.19108939]
0,ABWR,[-0.60012071 -0.16217665]
0,ACJR,[-0.69527412 -0.02338263]
0,ACWR,[-0.63128146 -0.15200319]
0,ACY,[-0.7208059   0.08481976]
0,ADBF,[-0.65553501 -0.05787333]
0,ADCX,[-0.69571482  0.31483831]
0,AEC,[-0.61061578 -0.21053878]
0,AF,[-0.52024705 -0.2160062 ]
0,AFLR,[-0.56073229 -0.22688008]
0,AG,[-0.56981779 -0.22158329]
0,AGLF,[-0.65869136 -0.16119745]
0,AGR,[-0.55564026 -0.20289218]
0,AIKR,[-0.61731914 -0.14102189]
0,ALAB,[-0.5673296  -0.20206242]
0,ALE,[-0.61241635 -0.16223544]
0,ALQS,[-0.7373501   0.14395573]
0,ALY,[-0.74033663  0.10123836]
0,AN,[-0.61885103 -0.20768607]
0,AO,[-0.65733051 -0.11886593]
0,AR,[-0.63221527 -0.17975775]
0,ARA,[-0.60112518  0.51338833]
0,ARC,[-0.63212394 -0.19528804]
0,ASAB,[-0.5816633  -0.24498975]
0,ASRY,[-0.69504    -0.03280425]
0,ATC,[-0.62408545 -0.2213738 ]
0,ATN,[-0.56595765 -0.18610226]
0,ATW,[-0.64002813 -0.21439021]
0,AUT,[-0.60208987 -0.16683428]
0,AVR,[-0.71541085 -0.00830712]
0,AWP,[-0.55765762 -0.27411963]
0,AWW,[-0.67043839  0.00222586]
0,BAYL,[-0.60340428 -0.18187032]
0,BB,[-0.62464097 -0.13966426]
0,BCR,[-0.62208008 -0.1421403 ]
0,BDRV,[-0.77326411  0.10583834]
0,BFC,[-0.73814042  0.1499936 ]
0,BHRR,[-0.60174107 -0.16727211]
0,BHRX,[-0.74733672  0.13334753]
0,BHX,[-0.68178836  0.21459574]
0,BKRR,[-0.67744394  0.36033569]
0,BLE,[-0.73146367  0.10598863]
0,BLF,[-0.64881965 -0.17799268]
0,BLU,[-0.58189802 -0.16803719]
0,BMRG,[-0.73602913  0.1184396 ]
0,BMTR,[-0.73221398  0.13162721]
0,BO,[-0.67505233  0.04085355]
0,BOCT,[-0.43917563 -0.14956255]
0,BPRR,[-0.72901425  0.12845083]
